Points,Start,Length,Ref. #,Stat Fact,ShapeF,TrackF,MakeF
0,24,1,17,1,2,2,1
0,12,1,29,1,2,2,1
0,11,1,7,1,2,2,3
0,14,1,15,1,2,2,1
0,4,1,5,1,2,2,3
0,9,1,19,1,2,2,1
0,23,1,11,1,2,2,1
0,5,1,14,1,2,2,3
0,19,1,20,1,2,2,2
0,26,1,33,1,2,2,3
0,15,1,8,1,2,2,2
0,16,1,23,1,2,2,2
0,20,1,13,1,2,2,1
0,13,1,21,1,2,2,1
0,6,1,10,1,2,2,3
0,2,1,1,1,2,2,3
0,7,1,12,1,2,2,3
0,1,1,9,1,2,2,2
0,10,1,6,1,2,2,1
0,3,1,3,1,2,2,2
0,31,1,31,1,2,2,3
0,28,1,50,1,2,2,3
0,27,1,25,1,2,2,3
0,18,1,16,1,2,2,3
0,21,1,22,1,2,2,3
0,8,1,2,1,2,2,3
0,17,1,4,1,2,2,1
0,22,1,30,1,2,2,1
