Points,Start,Length,Ref. #,Stat Fact,ShapeF,TrackF,MakeF
8.5,21,1.54,17,1,3,2,1
23,18,1.54,29,1,3,2,1
30,11,1.54,7,1,3,2,3
41,25,1.54,15,1,3,2,1
68,5,1.54,5,1,3,2,3
53,27,1.54,19,1,3,2,1
18,24,1.54,11,1,3,2,1
55.5,9,1.54,14,1,3,2,3
20,32,1.54,32,1,3,2,1
21.5,4,1.54,20,1,3,2,2
-1,19,1.54,18,1,3,2,1
28,29,1.54,33,1,3,2,3
59.5,12,1.54,8,1,3,2,2
32,10,1.54,23,1,3,2,2
3,31,1.54,35,3,3,2,2
14,36,1.54,43,1,3,2,1
19.5,13,1.54,13,1,3,2,1
9,33,1.54,34,1,3,2,1
13.5,22,1.54,21,1,3,2,1
54.25,16,1.54,10,1,3,2,3
20.5,14,1.54,24,1,3,2,1
132.25,3,1.54,1,1,3,2,3
57.5,7,1.54,12,1,3,2,3
44.75,1,1.54,9,1,3,2,2
37,8,1.54,6,1,3,2,1
74.75,35,1.54,3,1,3,2,2
12,30,1.54,31,1,3,2,3
14,17,1.54,25,1,3,2,3
25,15,1.54,16,1,3,2,3
19,6,1.54,22,1,3,2,3
18,34,1.54,36,1,3,2,1
47.5,26,1.54,2,1,3,2,3
28.75,2,1.54,4,1,3,2,1
-6,20,1.54,28,3,3,2,3
22,28,1.54,26,1,3,2,1
32,23,1.54,30,1,3,2,1
12.5,27,1.5,17,1,5,2,1
36.5,20,1.5,29,1,5,2,1
53.5,29,1.5,7,1,5,2,3
34,16,1.5,15,1,5,2,1
47,8,1.5,5,1,5,2,3
-15,6,1.5,19,2,5,2,1
44.5,28,1.5,11,1,5,2,1
19.5,11,1.5,14,1,5,2,3
24,30,1.5,27,1,5,2,3
22,34,1.5,32,1,5,2,1
10.5,18,1.5,20,1,5,2,2
28,26,1.5,18,1,5,2,1
23.5,23,1.5,33,1,5,2,3
32.5,19,1.5,8,1,5,2,2
43.5,9,1.5,23,1,5,2,2
13,35,1.5,35,3,5,2,2
-6,22,1.5,13,2,5,2,1
18,36,1.5,34,1,5,2,1
38.5,14,1.5,21,1,5,2,1
17,37,1.5,37,1,5,2,1
49.75,10,1.5,10,1,5,2,3
29.5,21,1.5,24,1,5,2,1
132.5,2,1.5,1,1,5,2,3
-22,3,1.5,12,2,5,2,3
66.5,13,1.5,9,1,5,2,2
49.5,5,1.5,6,1,5,2,1
53,4,1.5,3,1,5,2,2
32,32,1.5,31,1,5,2,3
-8.25,15,1.5,25,3,5,2,3
40,12,1.5,16,1,5,2,3
23,7,1.5,22,1,5,2,3
19,33,1.5,36,1,5,2,1
41.25,1,1.5,2,1,5,2,3
47.5,25,1.5,4,1,5,2,1
28,24,1.5,28,1,5,2,3
27,31,1.5,26,1,5,2,1
