Start,Length,Ref. #,Stat Fact,ShapeF,TrackF,MakeF
21,1.54,17,1,3,2,1
18,1.54,29,1,3,2,1
11,1.54,7,1,3,2,3
25,1.54,15,1,3,2,1
5,1.54,5,1,3,2,3
27,1.54,19,1,3,2,1
24,1.54,11,1,3,2,1
9,1.54,14,1,3,2,3
32,1.54,32,1,3,2,1
4,1.54,20,1,3,2,2
19,1.54,18,1,3,2,1
29,1.54,33,1,3,2,3
12,1.54,8,1,3,2,2
10,1.54,23,1,3,2,2
31,1.54,35,3,3,2,2
36,1.54,43,1,3,2,1
13,1.54,13,1,3,2,1
33,1.54,34,1,3,2,1
22,1.54,21,1,3,2,1
16,1.54,10,1,3,2,3
14,1.54,24,1,3,2,1
3,1.54,1,1,3,2,3
7,1.54,12,1,3,2,3
1,1.54,9,1,3,2,2
8,1.54,6,1,3,2,1
35,1.54,3,1,3,2,2
30,1.54,31,1,3,2,3
17,1.54,25,1,3,2,3
15,1.54,16,1,3,2,3
6,1.54,22,1,3,2,3
34,1.54,36,1,3,2,1
26,1.54,2,1,3,2,3
2,1.54,4,1,3,2,1
20,1.54,28,3,3,2,3
28,1.54,26,1,3,2,1
23,1.54,30,1,3,2,1
27,1.5,17,1,5,2,1
20,1.5,29,1,5,2,1
29,1.5,7,1,5,2,3
16,1.5,15,1,5,2,1
8,1.5,5,1,5,2,3
6,1.5,19,2,5,2,1
28,1.5,11,1,5,2,1
11,1.5,14,1,5,2,3
30,1.5,27,1,5,2,3
34,1.5,32,1,5,2,1
18,1.5,20,1,5,2,2
26,1.5,18,1,5,2,1
23,1.5,33,1,5,2,3
19,1.5,8,1,5,2,2
9,1.5,23,1,5,2,2
35,1.5,35,3,5,2,2
22,1.5,13,2,5,2,1
36,1.5,34,1,5,2,1
14,1.5,21,1,5,2,1
37,1.5,37,1,5,2,1
10,1.5,10,1,5,2,3
21,1.5,24,1,5,2,1
2,1.5,1,1,5,2,3
3,1.5,12,2,5,2,3
13,1.5,9,1,5,2,2
5,1.5,6,1,5,2,1
4,1.5,3,1,5,2,2
32,1.5,31,1,5,2,3
15,1.5,25,3,5,2,3
12,1.5,16,1,5,2,3
7,1.5,22,1,5,2,3
33,1.5,36,1,5,2,1
1,1.5,2,1,5,2,3
25,1.5,4,1,5,2,1
24,1.5,28,1,5,2,3
31,1.5,26,1,5,2,1
17,1.5,30,1,5,2,1
20,1,17,1,1,1,1
4,1,29,1,1,1,1
22,1,7,1,1,1,3
18,1,15,1,1,1,1
25,1,5,1,1,1,3
3,1,19,1,1,1,1
24,1,11,1,1,1,1
19,1,14,1,1,1,3
33,1,39,3,1,1,1
34,1,40,1,1,1,2
15,1,20,1,1,1,2
27,1,18,1,1,1,1
16,1,33,1,1,1,3
6,1,8,1,1,1,2
9,1,23,1,1,1,2
32,1,35,1,1,1,2
8,1,13,1,1,1,1
37,1,34,1,1,1,1
17,1,21,1,1,1,1
5,1,10,1,1,1,3
26,1,24,1,1,1,1
10,1,1,1,1,1,3
23,1,12,1,1,1,3
7,1,9,1,1,1,2
2,1,6,1,1,1,1
1,1,3,1,1,1,2
30,1,31,1,1,1,3
31,1,25,1,1,1,3
14,1,16,2,1,1,3
29,1,22,1,1,1,3
36,1,36,1,1,1,1
12,1,2,1,1,1,3
13,1,4,1,1,1,1
21,1,28,1,1,1,3
28,1,26,1,1,1,1
11,1,30,1,1,1,1
32,2,17,1,1,2,1
28,2,29,1,1,2,1
27,2,7,1,1,2,3
5,2,15,1,1,2,1
11,2,5,1,1,2,3
31,2,19,1,1,2,1
12,2,11,1,1,2,1
26,2,14,1,1,2,3
37,2,32,1,1,2,1
30,2,20,1,1,2,2
19,2,18,1,1,2,1
21,2,33,1,1,2,3
25,2,8,1,1,2,2
4,2,23,1,1,2,2
20,2,35,1,1,2,2
15,2,13,1,1,2,1
23,2,34,1,1,2,1
33,2,21,1,1,2,1
6,2,10,1,1,2,3
34,2,24,1,1,2,1
10,2,1,1,1,2,3
7,2,12,1,1,2,3
2,2,9,1,1,2,2
3,2,6,1,1,2,1
1,2,3,1,1,2,2
18,2,31,1,1,2,3
22,2,25,1,1,2,3
14,2,16,1,1,2,3
24,2,42,1,1,2,1
16,2,22,1,1,2,3
36,2,36,1,1,2,1
8,2,2,1,1,2,3
9,2,4,1,1,2,1
35,2,41,1,1,2,2
13,2,28,2,1,2,3
17,2,26,1,1,2,1
29,2,30,1,1,2,1
25,0.526,17,1,2,5,1
16,0.526,29,1,2,5,1
10,0.526,7,1,2,5,3
12,0.526,15,1,2,5,1
4,0.526,5,1,2,5,3
21,0.526,19,1,2,5,1
22,0.526,11,1,2,5,1
9,0.526,14,1,2,5,3
35,0.526,32,1,2,5,1
37,0.526,40,1,2,5,2
23,0.526,20,1,2,5,2
19,0.526,18,1,2,5,1
28,0.526,33,1,2,5,3
6,0.526,8,1,2,5,2
13,0.526,23,1,2,5,2
34,0.526,35,1,2,5,2
30,0.526,43,1,2,5,1
26,0.526,13,1,2,5,1
18,0.526,21,1,2,5,1
3,0.526,10,1,2,5,3
29,0.526,24,1,2,5,1
8,0.526,1,1,2,5,3
11,0.526,12,1,2,5,3
2,0.526,9,1,2,5,2
7,0.526,6,1,2,5,1
36,0.526,44,3,2,5,1
1,0.526,3,1,2,5,2
31,0.526,31,1,2,5,3
24,0.526,25,1,2,5,3
15,0.526,16,1,2,5,3
17,0.526,22,1,2,5,3
33,0.526,36,1,2,5,1
5,0.526,2,1,2,5,3
14,0.526,4,1,2,5,1
